"date","freq"
2015-6-15,9.000000
2015-7-1,10.066667
2015-7-16,9.562500
2015-8-1,9.466667
2015-8-16,9.250000
2015-9-1,10.533333
2015-9-15,10.400000
2015-10-1,9.266667
2015-10-16,9.625000
2015-11-1,11.133333
2015-11-15,8.266667
2015-12-1,8.400000
2015-12-16,6.562500
2016-1-1,6.933333
2016-1-16,8.937500
2016-2-1,8.214286
2016-2-14,8.214286
2016-3-1,7.800000
2016-3-16,7.937500
2016-4-1,9.266667
2016-4-15,9.600000
2016-5-1,9.333333
2016-5-16,9.937500
2016-6-1,9.666667
2016-6-15,9.733333
2016-7-1,8.266667
2016-7-16,8.062500
2016-8-1,8.666667
2016-8-16,9.437500
2016-9-1,8.866667
2016-9-15,8.933333
2016-10-1,8.533333
2016-10-16,8.562500
2016-11-1,8.133333
2016-11-15,7.266667
2016-12-1,9.000000
2016-12-16,7.875000
2017-1-1,9.533333
2017-1-16,7.500000
2017-2-1,8.857143
2017-2-14,7.000000
2017-3-1,8.133333
2017-3-16,8.562500
2017-4-1,7.933333
2017-4-15,9.200000
2017-5-1,8.333333
2017-5-16,8.500000
2017-6-1,8.000000
2017-6-15,10.266667
2017-7-1,9.200000
2017-7-16,7.625000
2017-8-1,10.533333
2017-8-16,10.562500
2017-9-1,9.666667
2017-9-15,8.333333
2017-10-1,9.400000
2017-10-16,8.375000
2017-11-1,10.266667
2017-11-15,8.266667
2017-12-1,9.200000
2017-12-16,6.875000
2018-1-1,8.266667
2018-1-16,8.750000
2018-2-1,8.642857
2018-2-14,9.642857
2018-3-1,9.466667
2018-3-16,8.250000
2018-4-1,8.333333
2018-4-15,9.733333
2018-5-1,7.733333
2018-5-16,9.937500
2018-6-1,8.200000
2018-6-15,9.666667
2018-7-1,8.066667
2018-7-16,8.062500
2018-8-1,8.266667
2018-8-16,7.062500
2018-9-1,8.066667
2018-9-15,8.200000
2018-10-1,7.333333
2018-10-16,8.062500
2018-11-1,8.000000
2018-11-15,6.333333
2018-12-1,7.733333
2018-12-16,6.125000
2019-1-1,7.200000
2019-1-16,7.375000
2019-2-1,7.785714
2019-2-14,7.428571
2019-3-1,5.666667
2019-3-16,7.437500
2019-4-1,8.600000
2019-4-15,6.533333
2019-5-1,9.400000
2019-5-16,8.375000
2019-6-1,7.133333
2019-6-15,8.266667
2019-7-1,7.466667
2019-7-16,8.625000
2019-8-1,8.266667
2019-8-16,7.812500
2019-9-1,8.266667
