"date","freq"
2015-6-15,2.066667
2015-7-1,1.400000
2015-7-16,1.500000
2015-8-1,1.666667
2015-8-16,1.625000
2015-9-1,1.733333
2015-9-15,2.133333
2015-10-1,1.533333
2015-10-16,1.562500
2015-11-1,1.866667
2015-11-15,1.666667
2015-12-1,1.533333
2015-12-16,0.937500
2016-1-1,1.200000
2016-1-16,1.062500
2016-2-1,1.357143
2016-2-14,1.285714
2016-3-1,2.333333
2016-3-16,1.375000
2016-4-1,1.933333
2016-4-15,1.733333
2016-5-1,1.400000
2016-5-16,2.187500
2016-6-1,1.466667
2016-6-15,2.133333
2016-7-1,1.133333
2016-7-16,1.625000
2016-8-1,1.666667
2016-8-16,1.500000
2016-9-1,1.800000
2016-9-15,1.533333
2016-10-1,1.666667
2016-10-16,1.875000
2016-11-1,1.733333
2016-11-15,2.000000
2016-12-1,2.066667
2016-12-16,2.375000
2017-1-1,1.333333
2017-1-16,1.500000
2017-2-1,1.214286
2017-2-14,2.000000
2017-3-1,1.000000
2017-3-16,1.625000
2017-4-1,1.466667
2017-4-15,1.666667
2017-5-1,1.133333
2017-5-16,1.062500
2017-6-1,1.933333
2017-6-15,1.733333
2017-7-1,1.666667
2017-7-16,2.062500
2017-8-1,2.600000
2017-8-16,1.750000
2017-9-1,1.266667
2017-9-15,1.933333
2017-10-1,1.466667
2017-10-16,1.125000
2017-11-1,1.800000
2017-11-15,1.333333
2017-12-1,2.733333
2017-12-16,1.500000
2018-1-1,1.333333
2018-1-16,1.750000
2018-2-1,1.857143
2018-2-14,1.357143
2018-3-1,1.866667
2018-3-16,1.750000
2018-4-1,1.266667
2018-4-15,1.933333
2018-5-1,1.200000
2018-5-16,1.812500
2018-6-1,1.600000
2018-6-15,2.000000
2018-7-1,1.866667
2018-7-16,1.937500
2018-8-1,2.733333
2018-8-16,1.625000
2018-9-1,1.600000
2018-9-15,1.466667
2018-10-1,1.600000
2018-10-16,2.125000
2018-11-1,2.200000
2018-11-15,2.066667
2018-12-1,1.533333
2018-12-16,2.000000
2019-1-1,1.866667
2019-1-16,1.687500
2019-2-1,1.785714
2019-2-14,2.071429
2019-3-1,1.400000
2019-3-16,1.812500
2019-4-1,1.800000
2019-4-15,1.600000
2019-5-1,2.200000
2019-5-16,1.937500
2019-6-1,2.400000
2019-6-15,2.200000
2019-7-1,2.266667
2019-7-16,2.312500
2019-8-1,2.666667
2019-8-16,2.250000
2019-9-1,2.533333
